locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,1425 S Murray Blvd,Colorado Springs,CO,80916,ATMSW510008,<MISSING>,38.812519,-104.746338,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,4315 Centennial Blvd,Colorado Springs,CO,80907,ATMWG001864,<MISSING>,38.893859,-104.849805,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,6520 S Academy Blvd,Colorado Springs,CO,80906,ATMSW001166,<MISSING>,38.767417,-104.815001,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,3480 N Academy Blvd,Colorado Springs,CO,80917,ATMWG003586,<MISSING>,38.881703,-104.757700,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Academy-Hancock,3085 S Academy Blvd,Colorado Springs,CO,80916,BRCH06180018,719-391-5700,38.787689,-104.754882,9:00am - 5:00pm Mon - Thu 9:00am - 6:00pm Fri 9:00am - 12:00pm Sat,USA,branch
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Academy/Hancock,3085 S Academy Blvd,Colorado,CO,80916,ATMKB1929,<MISSING>,38.787701,-104.754831,24 Hour Access,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Cvs,3475 N Academy Blvd,Colorado Springs,CO,80917,ATMVC001001,<MISSING>,38.881757,-104.756348,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Ebony Beauty Plus,3239 S Academy Blvd Ste 100,Colorado Springs,CO,80916,ATMTN84665,<MISSING>,38.785881,-104.755774,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Green Crest Laundry,3612 Jeannine Dr,Colorado Springs,CO,80917,ATMTN71205,<MISSING>,38.886000,-104.760237,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Costco,5050 N Nevada Ave,Colorado Springs,CO,80918,ATMCW001127,<MISSING>,38.905432,-104.822265,12:00am - 12:00am Sun-Sat,USA,ATM
